"","Package","LibPath","Version","Priority","Built"
"1","abind","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4-5",NA,"3.4.0"
"2","assertthat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"3","babynames","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.0",NA,"3.4.0"
"4","backports","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.2",NA,"3.4.3"
"5","base","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"6","base64enc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-3",NA,"3.4.0"
"7","BH","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.66.0-1",NA,"3.4.3"
"8","bindr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.1",NA,"3.4.4"
"9","bindrcpp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.2",NA,"3.4.4"
"10","bit","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-14",NA,"3.4.4"
"11","bit64","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-7",NA,"3.4.0"
"12","bitops","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0-6",NA,"3.4.0"
"13","blob","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.4"
"14","boot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-20","recommended","3.4.4"
"15","broom","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.0",NA,"3.4.2"
"16","callr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.4",NA,"3.4.4"
"17","caret","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","6.0-80",NA,"3.4.4"
"18","caTools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.17.1.1",NA,"3.4.4"
"19","cellranger","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.0"
"20","class","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-14","recommended","3.4.4"
"21","cli","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.2"
"22","clipr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.1",NA,"3.4.4"
"23","clisymbols","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.0"
"24","cluster","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.6","recommended","3.4.4"
"25","codetools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2-15","recommended","3.4.4"
"26","colorspace","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-2",NA,"3.4.0"
"27","compiler","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"28","corrplot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.84",NA,"3.4.2"
"29","cowplot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9.3",NA,"3.4.4"
"30","crayon","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.4",NA,"3.4.1"
"31","crosstalk","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.0"
"32","curl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.2",NA,"3.4.4"
"33","CVST","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2-2",NA,"3.4.4"
"34","data.table","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.11.4",NA,"3.4.4"
"35","datasets","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"36","DBI","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.4"
"37","dbplyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.1",NA,"3.4.3"
"38","dcr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1",NA,"3.4.4"
"39","ddalpha","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.4",NA,"3.4.4"
"40","DEoptimR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0-8",NA,"3.4.0"
"41","desc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.4"
"42","devtools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.13.6",NA,"3.4.4"
"43","dichromat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0-0",NA,"3.4.0"
"44","digest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.15",NA,"3.4.3"
"45","dimRed","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.0",NA,"3.4.0"
"46","downloader","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4",NA,"3.4.0"
"47","dplyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7.6",NA,"3.4.4"
"48","DRR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.0.3",NA,"3.4.3"
"49","DT","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4",NA,"3.4.3"
"50","dygraphs","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1.6",NA,"3.4.4"
"51","EDAWR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1",NA,"3.4.2"
"52","enc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.3"
"53","etl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.7",NA,"3.4.2"
"54","evaluate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.11",NA,"3.4.4"
"55","fansi","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.3",NA,"3.4.4"
"56","fec","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.0.0.9013",NA,"3.4.2"
"57","forcats","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.0",NA,"3.4.3"
"58","foreach","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.4",NA,"3.4.3"
"59","forecast","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","8.4",NA,"3.4.4"
"60","foreign","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8-69","recommended","3.4.4"
"61","fracdiff","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4-2",NA,"3.4.0"
"62","fs","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.5",NA,"3.4.4"
"63","gbm","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.3",NA,"3.4.0"
"64","geometry","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3-6",NA,"3.4.0"
"65","GGally","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.0",NA,"3.4.4"
"66","ggplot2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.0.0.9000",NA,"3.4.2"
"67","ggpubr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.7",NA,"3.4.2"
"68","ggrepel","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8.0",NA,"3.4.4"
"69","ggsci","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.9",NA,"3.4.4"
"70","ggsignif","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.0",NA,"3.4.1"
"71","ggthemes","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","4.0.0",NA,"3.4.4"
"72","gh","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.1",NA,"3.4.1"
"73","git2r","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.23.0",NA,"3.4.4"
"74","glue","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.0",NA,"3.4.4"
"75","gower","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.2",NA,"3.4.0"
"76","graphics","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"77","grDevices","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"78","grid","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"79","gridExtra","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.3",NA,"3.4.1"
"80","gtable","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"81","haven","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.2",NA,"3.4.4"
"82","hexbin","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.27.2",NA,"3.4.3"
"83","highr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7",NA,"3.4.2"
"84","hms","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.2",NA,"3.4.4"
"85","htmltools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.6",NA,"3.4.0"
"86","htmlwidgets","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2",NA,"3.4.4"
"87","httpuv","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.5",NA,"3.4.4"
"88","httr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.1",NA,"3.4.1"
"89","imr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.1",NA,"3.4.4"
"90","ini","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.1",NA,"3.4.4"
"91","ipred","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-6",NA,"3.4.0"
"92","iterators","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.10",NA,"3.4.4"
"93","jsonlite","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5",NA,"3.4.0"
"94","kernlab","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-26",NA,"3.4.4"
"95","KernSmooth","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.23-15","recommended","3.4.4"
"96","knitr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.20",NA,"3.4.3"
"97","labeling","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3",NA,"3.4.0"
"98","later","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7.3",NA,"3.4.2"
"99","lattice","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.20-35","recommended","3.4.4"
"100","lava","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.6.2",NA,"3.4.4"
"101","lazyeval","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.1",NA,"3.4.2"
"102","leaflet","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.1",NA,"3.4.4"
"103","lmtest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-36",NA,"3.4.4"
"104","lubridate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.7.4",NA,"3.4.4"
"105","magic","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5-8",NA,"3.4.3"
"106","magrittr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5",NA,"3.4.0"
"107","maps","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.3.0",NA,"3.4.4"
"108","markdown","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8",NA,"3.4.0"
"109","MASS","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-49","recommended","3.4.4"
"110","Matrix","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2-12","recommended","3.4.4"
"111","memoise","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.0"
"112","methods","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"113","mgcv","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-23","recommended","3.4.4"
"114","mime","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5",NA,"3.4.0"
"115","mmlib","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.0",NA,"3.4.2"
"116","mnormt","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5-5",NA,"3.4.0"
"117","ModelMetrics","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.0"
"118","modelr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.2",NA,"3.4.4"
"119","munsell","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.0",NA,"3.4.2"
"120","nlme","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.1-131.1","recommended","3.4.4"
"121","nnet","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-12","recommended","3.4.4"
"122","numDeriv","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2016.8-1",NA,"3.4.0"
"123","nycflights13","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.4"
"124","openssl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.1",NA,"3.4.3"
"125","packrat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.9-3",NA,"3.4.2"
"126","parallel","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"127","pillar","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.0",NA,"3.4.4"
"128","pkgconfig","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.1",NA,"3.4.0"
"129","plogr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.4"
"130","plotly","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","4.8.0",NA,"3.4.2"
"131","pls","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.6-0",NA,"3.4.0"
"132","plyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8.4",NA,"3.4.0"
"133","png","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-7",NA,"3.4.0"
"134","praise","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.0"
"135","prettyunits","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.2",NA,"3.4.0"
"136","processx","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.1.0",NA,"3.4.4"
"137","prodlim","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2018.04.18",NA,"3.4.4"
"138","progress","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.2"
"139","promises","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.1",NA,"3.4.4"
"140","psych","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8.4",NA,"3.4.4"
"141","purrr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.5",NA,"3.4.4"
"142","quadprog","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5-5",NA,"3.4.0"
"143","quantmod","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4-13",NA,"3.4.4"
"144","R6","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.2.2",NA,"3.4.0"
"145","raster","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.6-7",NA,"3.4.2"
"146","RColorBrewer","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-2",NA,"3.4.0"
"147","Rcpp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.12.18",NA,"3.4.2"
"148","RcppArmadillo","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8.600.0.0",NA,"3.4.4"
"149","RcppRoll","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.0",NA,"3.4.2"
"150","readr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.0"
"151","readxl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.4"
"152","recipes","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.3",NA,"3.4.2"
"153","rematch","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.1",NA,"3.4.0"
"154","rematch2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.1",NA,"3.4.1"
"155","reprex","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.4"
"156","repurrrsive","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.0",NA,"3.4.1"
"157","reshape","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8.7",NA,"3.4.1"
"158","reshape2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.3",NA,"3.4.3"
"159","rJava","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-10",NA,"3.4.4"
"160","RJDBC","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2-7.1",NA,"3.4.4"
"161","rlang","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.1",NA,"3.4.4"
"162","rmarkdown","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.10",NA,"3.4.2"
"163","robustbase","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.93-1.1",NA,"3.4.4"
"164","rpart","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","4.1-13","recommended","3.4.4"
"165","RPostgreSQL","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6-2",NA,"3.4.1"
"166","rprojroot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-2",NA,"3.4.3"
"167","RSQLite","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.1",NA,"3.4.4"
"168","rstudioapi","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7",NA,"3.4.1"
"169","Rtsne","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.13",NA,"3.4.0"
"170","rvest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.2",NA,"3.4.0"
"171","scales","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.0",NA,"3.4.1"
"172","selectr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4-1",NA,"3.4.4"
"173","sfsmisc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-2",NA,"3.4.4"
"174","shiny","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.4"
"175","shinyBS","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.61",NA,"3.4.0"
"176","shinydashboard","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7.0",NA,"3.4.4"
"177","slam","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-43",NA,"3.4.4"
"178","sourcetools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.7",NA,"3.4.4"
"179","sparkline","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0",NA,"3.4.0"
"180","spatial","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-11","recommended","3.4.4"
"181","splines","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"182","SQUAREM","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2017.10-1",NA,"3.4.2"
"183","stats","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"184","stats4","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"185","stringi","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.4",NA,"3.4.4"
"186","stringr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.1",NA,"3.4.4"
"187","styler","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.2",NA,"3.4.4"
"188","survival","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.41-3","recommended","3.4.4"
"189","tcltk","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"190","testthat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.0",NA,"3.4.3"
"191","tibble","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.2",NA,"3.4.3"
"192","tidyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8.1",NA,"3.4.4"
"193","tidyselect","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.4",NA,"3.4.3"
"194","tidyverse","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.1",NA,"3.4.2"
"195","timeDate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3043.102",NA,"3.4.3"
"196","tinytex","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6",NA,"3.4.4"
"197","tools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"198","tseries","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.10-45",NA,"3.4.4"
"199","TTR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.23-3",NA,"3.4.3"
"200","urca","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-0",NA,"3.4.0"
"201","uroot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0-9",NA,"3.4.0"
"202","usethis","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.0",NA,"3.4.3"
"203","utf8","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.4",NA,"3.4.2"
"204","utils","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.4","base","3.4.4"
"205","viridis","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.1",NA,"3.4.4"
"206","viridisLite","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.0",NA,"3.4.3"
"207","whisker","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3-2",NA,"3.4.0"
"208","withr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.2",NA,"3.4.4"
"209","wordcloud","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.5",NA,"3.4.0"
"210","xfun","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3",NA,"3.4.4"
"211","xgboost","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.71.2",NA,"3.4.2"
"212","xlsx","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.1",NA,"3.4.4"
"213","xlsxjars","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.1",NA,"3.4.0"
"214","xml2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.3"
"215","xtable","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-2",NA,"3.4.0"
"216","xts","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.11-0",NA,"3.4.4"
"217","yaml","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.19",NA,"3.4.4"
"218","zoo","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-3",NA,"3.4.4"
